Genomes	C	S	D	F	M	n
xanthomonadales/GCA_001069105.1_ASM106910v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069105.1_ASM106910v1_genomic.fna.txt;98.4	98.3	0.1	1.2	0.4	1152	   
xanthomonadales/GCA_001069235.1_ASM106923v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069235.1_ASM106923v1_genomic.fna.txt;98.6	98.4	0.2	0.9	0.5	1152	   
xanthomonadales/GCA_001069295.1_ASM106929v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069295.1_ASM106929v1_genomic.fna.txt;99.0	99.0	0.0	0.8	0.2	1152	   
xanthomonadales/GCA_001069345.1_ASM106934v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069345.1_ASM106934v1_genomic.fna.txt;99.3	99.1	0.2	0.3	0.4	1152	   
xanthomonadales/GCA_001069405.1_ASM106940v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069405.1_ASM106940v1_genomic.fna.txt;98.9	98.8	0.1	0.7	0.4	1152	   
xanthomonadales/GCA_001069435.1_ASM106943v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069435.1_ASM106943v1_genomic.fna.txt;98.4	98.2	0.2	0.9	0.7	1152	   
xanthomonadales/GCA_001069555.1_ASM106955v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069555.1_ASM106955v1_genomic.fna.txt;99.7	99.5	0.2	0.3	0.0	1152	   
xanthomonadales/GCA_001069565.1_ASM106956v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069565.1_ASM106956v1_genomic.fna.txt;99.6	99.4	0.2	0.2	0.2	1152	   
xanthomonadales/GCA_001069595.1_ASM106959v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069595.1_ASM106959v1_genomic.fna.txt;99.3	99.2	0.1	0.4	0.3	1152	   
xanthomonadales/GCA_001069605.1_ASM106960v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069605.1_ASM106960v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_001069615.1_ASM106961v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069615.1_ASM106961v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_001069645.1_ASM106964v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069645.1_ASM106964v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_001069685.1_ASM106968v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069685.1_ASM106968v1_genomic.fna.txt;99.3	98.9	0.4	0.5	0.2	1152	   
xanthomonadales/GCA_001069715.1_ASM106971v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069715.1_ASM106971v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_001069755.1_ASM106975v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069755.1_ASM106975v1_genomic.fna.txt;96.4	96.3	0.1	2.4	1.2	1152	   
xanthomonadales/GCA_001070185.1_ASM107018v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001070185.1_ASM107018v1_genomic.fna.txt;99.5	99.4	0.1	0.3	0.2	1152	   
xanthomonadales/GCA_001070325.1_ASM107032v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001070325.1_ASM107032v1_genomic.fna.txt;99.5	99.3	0.2	0.3	0.2	1152	   
xanthomonadales/GCA_001070785.1_ASM107078v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001070785.1_ASM107078v1_genomic.fna.txt;97.4	97.2	0.2	1.7	0.9	1152	   
xanthomonadales/GCA_001070865.1_ASM107086v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001070865.1_ASM107086v1_genomic.fna.txt;99.7	99.2	0.5	0.2	0.1	1152	   
xanthomonadales/GCA_001070945.1_ASM107094v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001070945.1_ASM107094v1_genomic.fna.txt;99.6	99.2	0.4	0.2	0.2	1152	   
xanthomonadales/GCA_001071045.1_ASM107104v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071045.1_ASM107104v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_001071065.1_ASM107106v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071065.1_ASM107106v1_genomic.fna.txt;99.4	99.3	0.1	0.3	0.3	1152	   
xanthomonadales/GCA_001071115.1_ASM107111v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071115.1_ASM107111v1_genomic.fna.txt;99.7	99.4	0.3	0.2	0.1	1152	   
xanthomonadales/GCA_001071175.1_ASM107117v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071175.1_ASM107117v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_001071195.1_ASM107119v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071195.1_ASM107119v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_001071285.1_ASM107128v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071285.1_ASM107128v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_001071335.1_ASM107133v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071335.1_ASM107133v1_genomic.fna.txt;99.6	99.2	0.4	0.2	0.2	1152	   
xanthomonadales/GCA_001071345.1_ASM107134v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071345.1_ASM107134v1_genomic.fna.txt;99.7	99.2	0.5	0.0	0.3	1152	   
xanthomonadales/GCA_001071475.1_ASM107147v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071475.1_ASM107147v1_genomic.fna.txt;98.4	98.2	0.2	1.1	0.5	1152	   
xanthomonadales/GCA_001071655.1_ASM107165v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071655.1_ASM107165v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_001071815.1_ASM107181v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001071815.1_ASM107181v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_001072155.1_ASM107215v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072155.1_ASM107215v1_genomic.fna.txt;98.9	98.5	0.4	0.8	0.3	1152	   
xanthomonadales/GCA_001072195.1_ASM107219v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072195.1_ASM107219v1_genomic.fna.txt;100.0	99.7	0.3	0.0	0.0	1152	   
xanthomonadales/GCA_001072215.1_ASM107221v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072215.1_ASM107221v1_genomic.fna.txt;99.2	98.8	0.4	0.6	0.2	1152	   
xanthomonadales/GCA_001072355.1_ASM107235v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072355.1_ASM107235v1_genomic.fna.txt;99.1	99.0	0.1	0.6	0.3	1152	   
xanthomonadales/GCA_001072535.1_ASM107253v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072535.1_ASM107253v1_genomic.fna.txt;99.7	99.4	0.3	0.2	0.1	1152	   
xanthomonadales/GCA_001072635.1_ASM107263v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072635.1_ASM107263v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_001072655.1_ASM107265v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072655.1_ASM107265v1_genomic.fna.txt;99.4	99.3	0.1	0.2	0.4	1152	   
xanthomonadales/GCA_001072845.1_ASM107284v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072845.1_ASM107284v1_genomic.fna.txt;99.7	99.3	0.4	0.1	0.2	1152	   
xanthomonadales/GCA_001072915.1_ASM107291v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001072915.1_ASM107291v1_genomic.fna.txt;99.9	99.5	0.4	0.0	0.1	1152	   
xanthomonadales/GCA_001073045.1_ASM107304v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001073045.1_ASM107304v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_001073225.1_ASM107322v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001073225.1_ASM107322v1_genomic.fna.txt;99.7	99.5	0.2	0.3	0.0	1152	   
xanthomonadales/GCA_001073355.1_ASM107335v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001073355.1_ASM107335v1_genomic.fna.txt;98.9	98.9	0.0	0.8	0.3	1152	   
xanthomonadales/GCA_001074595.1_ASM107459v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001074595.1_ASM107459v1_genomic.fna.txt;94.7	94.6	0.1	3.7	1.6	1152	   
xanthomonadales/GCA_001074685.1_ASM107468v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001074685.1_ASM107468v1_genomic.fna.txt;98.9	98.8	0.1	0.8	0.3	1152	   
xanthomonadales/GCA_001074705.1_ASM107470v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001074705.1_ASM107470v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_001074785.1_ASM107478v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001074785.1_ASM107478v1_genomic.fna.txt;98.2	97.8	0.4	1.0	0.8	1152	   
xanthomonadales/GCA_001075145.1_ASM107514v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001075145.1_ASM107514v1_genomic.fna.txt;95.2	95.1	0.1	3.9	0.9	1152	   
xanthomonadales/GCA_001075175.1_ASM107517v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001075175.1_ASM107517v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_001075245.1_ASM107524v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001075245.1_ASM107524v1_genomic.fna.txt;99.8	99.4	0.4	0.1	0.1	1152	   
xanthomonadales/GCA_001075445.1_ASM107544v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001075445.1_ASM107544v1_genomic.fna.txt;99.7	99.5	0.2	0.1	0.2	1152	   
xanthomonadales/GCA_001075475.1_ASM107547v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001075475.1_ASM107547v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_001075485.1_ASM107548v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001075485.1_ASM107548v1_genomic.fna.txt;99.7	99.5	0.2	0.3	0.0	1152	   
xanthomonadales/GCA_001075985.1_ASM107598v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001075985.1_ASM107598v1_genomic.fna.txt;99.6	99.5	0.1	0.2	0.2	1152	   
xanthomonadales/GCA_001274595.1_ASM127459v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001274595.1_ASM127459v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_001274655.1_ASM127465v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001274655.1_ASM127465v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_001274675.1_ASM127467v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001274675.1_ASM127467v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_001275075.1_ISMMS5v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001275075.1_ISMMS5v1_genomic.fna.txt;99.4	98.1	1.3	0.3	0.3	1152	   
xanthomonadales/GCA_001275085.1_ISMMS4v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001275085.1_ISMMS4v1_genomic.fna.txt;99.7	99.5	0.2	0.3	0.0	1152	   
xanthomonadales/GCA_001275095.1_ISMMS6v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001275095.1_ISMMS6v1_genomic.fna.txt;99.4	99.1	0.3	0.1	0.5	1152	   
xanthomonadales/GCA_001276185.1_ASM127618v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001276185.1_ASM127618v1_genomic.fna.txt;99.8	99.4	0.4	0.1	0.1	1152	   
xanthomonadales/GCA_001276305.1_ASM127630v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001276305.1_ASM127630v1_genomic.fna.txt;98.8	98.7	0.1	0.7	0.5	1152	   
xanthomonadales/GCA_001276345.1_ASM127634v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001276345.1_ASM127634v1_genomic.fna.txt;99.7	99.6	0.1	0.1	0.2	1152	   
xanthomonadales/GCA_001276355.1_ASM127635v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001276355.1_ASM127635v1_genomic.fna.txt;99.7	99.5	0.2	0.3	0.0	1152	   
xanthomonadales/GCA_001276385.1_ASM127638v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001276385.1_ASM127638v1_genomic.fna.txt;99.4	99.3	0.1	0.3	0.3	1152	   
xanthomonadales/GCA_001297005.1_SmOC94scaf_imr500_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001297005.1_SmOC94scaf_imr500_genomic.fna.txt;99.2	99.0	0.2	0.6	0.2	1152	   
xanthomonadales/GCA_001431665.1_ASM143166v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001431665.1_ASM143166v1_genomic.fna.txt;99.3	99.2	0.1	0.3	0.4	1152	   
xanthomonadales/GCA_001431675.1_ASM143167v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001431675.1_ASM143167v1_genomic.fna.txt;97.1	96.8	0.3	0.5	2.4	1152	   
xanthomonadales/GCA_001516595.1_ASM151659v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001516595.1_ASM151659v1_genomic.fna.txt;82.5	81.2	1.3	10.9	6.6	1152	   
xanthomonadales/GCA_001516605.1_ASM151660v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001516605.1_ASM151660v1_genomic.fna.txt;70.2	69.6	0.6	11.6	18.2	1152	   
xanthomonadales/GCA_001542395.1_ASM154239v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001542395.1_ASM154239v1_genomic.fna.txt;99.6	95.2	4.4	0.2	0.2	1152	   
xanthomonadales/GCA_001595975.1_ASM159597v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001595975.1_ASM159597v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_001619675.1_ASM161967v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001619675.1_ASM161967v1_genomic.fna.txt;99.6	99.2	0.4	0.2	0.2	1152	   
xanthomonadales/GCA_001651505.1_ISMMS7v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001651505.1_ISMMS7v1_genomic.fna.txt;99.7	99.6	0.1	0.1	0.2	1152	   
xanthomonadales/GCA_001676295.1_ASM167629v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001676295.1_ASM167629v1_genomic.fna.txt;99.7	99.4	0.3	0.1	0.2	1152	   
xanthomonadales/GCA_001676315.1_ASM167631v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001676315.1_ASM167631v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_001676375.1_ASM167637v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001676375.1_ASM167637v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_001676385.1_ASM167638v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001676385.1_ASM167638v1_genomic.fna.txt;98.5	98.4	0.1	0.4	1.1	1152	   
xanthomonadales/GCA_001676395.1_ASM167639v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001676395.1_ASM167639v1_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_001676435.1_ASM167643v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001676435.1_ASM167643v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_001676445.1_ASM167644v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001676445.1_ASM167644v1_genomic.fna.txt;96.1	96.0	0.1	0.1	3.8	1152	   
xanthomonadales/GCA_001693455.1_ASM169345v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001693455.1_ASM169345v1_genomic.fna.txt;98.7	98.4	0.3	0.0	1.3	1152	   
xanthomonadales/GCA_001858265.1_ASM185826v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001858265.1_ASM185826v1_genomic.fna.txt;99.9	99.6	0.3	0.1	0.0	1152	   
xanthomonadales/GCA_001866065.1_ASM186606v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001866065.1_ASM186606v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_001997185.1_ASM199718v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001997185.1_ASM199718v1_genomic.fna.txt;99.2	99.0	0.2	0.5	0.3	1152	   
xanthomonadales/GCA_002025605.1_ASM202560v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002025605.1_ASM202560v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002138415.1_ASM213841v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002138415.1_ASM213841v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002189545.1_ASM218954v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002189545.1_ASM218954v1_genomic.fna.txt;99.7	99.6	0.1	0.1	0.2	1152	   
xanthomonadales/GCA_002189545.2_ASM218954v2_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002189545.2_ASM218954v2_genomic.fna.txt;99.4	99.2	0.2	0.3	0.3	1152	   
xanthomonadales/GCA_002189565.1_ASM218956v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002189565.1_ASM218956v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002205155.1_ASM220515v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205155.1_ASM220515v1_genomic.fna.txt;99.4	99.3	0.1	0.3	0.3	1152	   
xanthomonadales/GCA_002205165.1_ASM220516v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205165.1_ASM220516v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002205175.1_ASM220517v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205175.1_ASM220517v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_002205215.1_ASM220521v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205215.1_ASM220521v1_genomic.fna.txt;99.8	98.2	1.6	0.0	0.2	1152	   
xanthomonadales/GCA_002205225.1_ASM220522v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205225.1_ASM220522v1_genomic.fna.txt;99.5	99.2	0.3	0.3	0.2	1152	   
xanthomonadales/GCA_002205245.1_ASM220524v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205245.1_ASM220524v1_genomic.fna.txt;98.9	98.8	0.1	0.7	0.4	1152	   
xanthomonadales/GCA_002205275.1_ASM220527v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205275.1_ASM220527v1_genomic.fna.txt;99.5	99.0	0.5	0.2	0.3	1152	   
xanthomonadales/GCA_002205295.1_ASM220529v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002205295.1_ASM220529v1_genomic.fna.txt;99.6	99.4	0.2	0.2	0.2	1152	   
xanthomonadales/GCA_002208885.1_ASM220888v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002208885.1_ASM220888v1_genomic.fna.txt;98.5	98.2	0.3	1.0	0.5	1152	   
xanthomonadales/GCA_002208885.2_ASM220888v2_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002208885.2_ASM220888v2_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_002277735.1_ASM227773v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002277735.1_ASM227773v1_genomic.fna.txt;99.8	98.0	1.8	0.0	0.2	1152	   
xanthomonadales/GCA_002322235.1_ASM232223v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002322235.1_ASM232223v1_genomic.fna.txt;67.4	67.3	0.1	5.8	26.8	1152	   
xanthomonadales/GCA_002322615.1_ASM232261v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002322615.1_ASM232261v1_genomic.fna.txt;80.2	80.0	0.2	2.3	17.5	1152	   
xanthomonadales/GCA_002322815.1_ASM232281v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002322815.1_ASM232281v1_genomic.fna.txt;65.1	64.8	0.3	4.6	30.3	1152	   
xanthomonadales/GCA_002364375.1_ASM236437v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002364375.1_ASM236437v1_genomic.fna.txt;71.5	71.4	0.1	4.5	24.0	1152	   
xanthomonadales/GCA_002365215.1_ASM236521v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002365215.1_ASM236521v1_genomic.fna.txt;85.3	85.3	0.0	2.4	12.3	1152	   
xanthomonadales/GCA_002380865.1_ASM238086v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002380865.1_ASM238086v1_genomic.fna.txt;67.1	66.9	0.2	5.8	27.1	1152	   
xanthomonadales/GCA_002386405.1_ASM238640v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002386405.1_ASM238640v1_genomic.fna.txt;80.9	80.9	0.0	4.4	14.7	1152	   
xanthomonadales/GCA_002387785.1_ASM238778v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002387785.1_ASM238778v1_genomic.fna.txt;87.7	87.7	0.0	2.3	10.0	1152	   
xanthomonadales/GCA_002411275.1_ASM241127v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002411275.1_ASM241127v1_genomic.fna.txt;66.8	66.1	0.7	3.7	29.5	1152	   
xanthomonadales/GCA_002418535.1_ASM241853v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002418535.1_ASM241853v1_genomic.fna.txt;72.7	72.6	0.1	7.5	19.8	1152	   
xanthomonadales/GCA_002429565.1_ASM242956v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002429565.1_ASM242956v1_genomic.fna.txt;68.9	68.7	0.2	7.6	23.5	1152	   
xanthomonadales/GCA_002432525.1_ASM243252v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002432525.1_ASM243252v1_genomic.fna.txt;68.2	68.1	0.1	4.5	27.3	1152	   
xanthomonadales/GCA_002440415.1_ASM244041v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002440415.1_ASM244041v1_genomic.fna.txt;68.5	68.4	0.1	4.0	27.5	1152	   
xanthomonadales/GCA_002440545.1_ASM244054v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002440545.1_ASM244054v1_genomic.fna.txt;75.0	75.0	0.0	6.9	18.1	1152	   
xanthomonadales/GCA_002476435.1_ASM247643v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002476435.1_ASM247643v1_genomic.fna.txt;79.1	79.0	0.1	0.0	20.9	1152	   
xanthomonadales/GCA_002500795.1_ASM250079v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002500795.1_ASM250079v1_genomic.fna.txt;70.1	70.0	0.1	4.2	25.7	1152	   
xanthomonadales/GCA_002738625.1_ASM273862v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738625.1_ASM273862v1_genomic.fna.txt;99.7	99.4	0.3	0.2	0.1	1152	   
