# 2022 m. kovo 24 d. 11:17:41 EET,,
# Assembly_search_query=40324[Taxonomy ID] AND latest[filter],,
Assembly,BioSample,BioProject
5805941,12250844,553678
5805831,12250853,553678
5805801,12250858,553678
5805761,12250859,553678
5805611,12250868,553678
5487541,12995587,531449
5487401,12995598,531449
5481301,13757435,599774
5481291,13757432,599774
5481281,13757426,599774
5481271,13757434,599774
5481261,13757433,599774
5481251,13757431,599774
5481241,13757428,599774
5481231,13757430,599774
5481221,13757429,599774
5481211,13757436,599774
5481201,13757427,599774
5481191,13757425,599774
5481181,13757423,599774
5481171,13757424,599774
5481161,13757420,599774
5481151,13757421,599774
5481141,13757422,599774
5481131,13757418,599774
5481121,13757417,599774
5481111,13757419,599774
5481101,13757416,599774
5481071,13757408,599774
5481061,13757410,599774
5481041,13757413,599774
5481021,13757406,599774
5481011,13757412,599774
5481001,13757407,599774
5480991,13757411,599774
5480971,13757414,599774
5480961,13757409,599774
5480941,13757415,599774
5480931,13757403,599774
5480911,13757405,599774
5480901,13757404,599774
5480891,13757402,599774
5480881,13757401,599774
5480871,13757399,599774
5480851,13757400,599774
5480821,13757395,599774
5480811,13757398,599774
5480801,13757397,599774
5480781,13757396,599774
5480771,13757393,599774
5480761,13757392,599774
5480751,13757391,599774
5480731,13757394,599774
5480711,13757384,599774
5480691,13757383,599774
5480681,13757389,599774
5480671,13757390,599774
5480661,13757386,599774
5480651,13757382,599774
5480641,13757385,599774
5480631,13757388,599774
5480621,13757387,599774
5480611,13757376,599774
5480601,13757377,599774
5480591,13757378,599774
5480581,13757380,599774
5480571,13757379,599774
5480561,13757381,599774
5480551,13757375,599774
5480541,13757374,599774
5480531,13757373,599774
5480511,13757372,599774
5480501,13757368,599774
5480491,13757366,599774
5480471,13757367,599774
5480441,13757371,599774
5480421,13757370,599774
5480411,13757369,599774
5480401,13757365,599774
5480391,13757364,599774
5480381,13757361,599774
5480371,13757357,599774
5480361,13757356,599774
5480351,13757355,599774
5480341,13757362,599774
5480331,13757363,599774
5480311,13757359,599774
5480301,13757358,599774
5480291,13757360,599774
5480281,13757353,599774
5480271,13757354,599774
5480261,13757352,599774
5480251,13757351,599774
5480241,13757346,599774
5480231,13757348,599774
5480221,13757349,599774
5480211,13757350,599774
5480201,13757347,599774
5480191,13757345,599774
5480171,13757343,599774
5480161,13757344,599774
5480141,13757334,599774
5480131,13757337,599774
5480101,13757341,599774
5480091,13757333,599774
5480071,13757332,599774
5480041,13757339,599774
5479991,13757336,599774
5479981,13757335,599774
5479971,13757342,599774
5479961,13757338,599774
5479951,13757340,599774
5479941,13757331,599774
5479931,13757330,599774
5479921,13757329,599774
5479911,13757328,599774
5479901,13757327,599774
5479891,13757326,599774
5479881,13757325,599774
5479871,13757324,599774
5479861,13757323,599774
5479851,13757321,599774
5479841,13757314,599774
5479831,13757322,599774
5479821,13757313,599774
5479811,13757317,599774
5479801,13757319,599774
5479791,13757318,599774
5479781,13757315,599774
5479771,13757320,599774
5479761,13757316,599774
5479751,13757311,599774
5479741,13757312,599774
5479731,13757308,599774
5479721,13757310,599774
5479711,13757309,599774
5479701,13757307,599774
5479691,13757306,599774
5479681,13757299,599774
5479671,13757301,599774
5479661,13757300,599774
5479651,13757305,599774
5479641,13757304,599774
5479631,13757302,599774
5479621,13757303,599774
5479611,13757295,599774
5479601,13757297,599774
5479591,13757294,599774
5479581,13757296,599774
5479551,13757298,599774
5479541,13757293,599774
5479531,13757292,599774
5479521,13757291,599774
5479511,13757290,599774
5479501,13757288,599774
5479491,13757282,599774
5479481,13757283,599774
5479471,13757281,599774
5479461,13757285,599774
5479451,13757287,599774
5479441,13757286,599774
5479431,13757289,599774
5479421,13757284,599774
5479411,13757280,599774
5479401,13757279,599774
5479391,13757278,599774
5479381,13757277,599774
5479371,13757275,599774
5479331,13757274,599774
5479321,13757271,599774
5479311,13757269,599774
5479301,13757273,599774
5479291,13757263,599774
5479281,13757272,599774
5479271,13757270,599774
5479261,13757267,599774
5479251,13757264,599774
5479241,13757265,599774
5479231,13757266,599774
5479221,13757262,599774
5479211,13757268,599774
5479201,13757261,599774
5479191,13757260,599774
5479181,13757259,599774
5479171,13757258,599774
5479161,13757257,599774
5453811,13642261,596917
5341661,11652191,543082
5341651,11652192,543082
5341641,11652193,543082
5341631,11652194,543082
5341621,11652196,543082
5341611,11652195,543082
5341601,11652197,543082
5341591,11652198,543082
5341581,11652199,543082
5341571,11652200,543082
5341561,11652201,543082
5341551,11652202,543082
5205321,12996698,575836
4720911,11056364,231221
4640881,12586753,560476
4621661,9862369,486965
4539481,12530143,559295
4424761,3477411,248792
4397341,12562583,559887
4352791,12520983,559126
4351821,12520884,559126
4351731,12520883,559126
4287941,8742775,439221
4256601,9665072,481303
3817311,11032470,524726
3815491,10411010,505118
3677481,11512362,538304
3522571,11870796,543860
3522521,11870792,543860
3522481,12057333,548502
3522431,12057334,548502
3522421,12057332,548502
3515101,12035360,548502
3505961,4906617,251923
3348161,11289621,529969
3334001,11289622,529970
3333991,11289624,529971
3333981,11289619,529967
3208481,8767386,439221
3208411,8767397,439221
2911621,10451668,377900
2640201,8978021,453403
2640141,8978033,453403
2563121,10878308,474907
2562751,11289620,529968
2514631,11282838,529743
2434451,10819966,517126
2434431,10819978,517130
2434411,10819904,517123
2434401,10819528,517087
2434371,10819206,517077
2344481,9724453,483015
2183791,10589628,475125
2179981,6021986,251923
2179741,4630402,251923
2164681,10163202,231221
2163101,10249154,497126
2163051,10248948,497126
2163001,10249185,497126
2162871,10249221,497126
2162861,10249176,497126
2162851,10249208,497126
2162761,10249184,497126
2113391,10163201,231221
2087651,10361619,501407
2023431,10233424,495862
1934361,8018592,417962
1863191,9755198,483996
1863121,9755211,483996
1834701,8975541,453142
1771591,5419818,251923
1771301,4871973,251923
1762231,4978498,321249
1762221,4978504,321249
1762201,4978500,321249
1762191,4978494,321249
1762181,4978497,321249
1762171,4978499,321249
1762161,4978492,321249
1762151,4978490,321249
1762141,4978486,321249
1762131,4978491,321249
1762121,4978485,321249
1762111,4978481,321249
1762101,4978484,321249
1762091,4978482,321249
1762081,4978506,321249
1762071,4978505,321249
1762061,4978502,321249
1762051,4978503,321249
1762041,4978496,321249
1762031,4978495,321249
1762021,4978493,321249
1762011,4978489,321249
1762001,4978488,321249
1761991,4978480,321249
1761981,4978487,321249
1761961,4978483,321249
1760571,7426570,376580
1741751,9355365,474584
1728931,9229087,472215
1712031,9205971,471294
1684341,6678536,381518
1683621,8767386,439221
1683611,8767397,439221
1683581,8744681,439221
1681421,8742775,439221
1657211,8798397,445756
1649561,8093584,419460
1634081,8667455,437540
1634071,8667456,437540
1634021,8667451,437540
1634011,8667459,437540
1634001,8667453,437540
1633991,8667452,437540
1633981,8667457,437540
1633971,8667460,437540
1633961,8667454,437540
1633891,8643285,437214
1620741,6173338,231221
1593521,3996266,231221
1497951,8161503,421960
1453331,6644927,380601
1453321,6644928,380601
1453311,6644891,380601
1453301,6644898,380601
1453291,6644893,380601
1453281,6644904,380601
1453271,6644903,380601
1453261,6644900,380601
1453251,6644901,380601
1453241,6644905,380601
1453231,6644906,380601
1453221,6644907,380601
1453211,6644924,380601
1453201,6644988,380601
1453191,6644956,380601
1453181,6645002,380601
1453171,6645018,380601
1453161,6645020,380601
1453151,6645021,380601
1453141,6645022,380601
1423471,6019705,350620
1423461,6019739,350620
1423451,6019738,350620
1423441,6019736,350620
1423431,6019737,350620
1423421,6019735,350620
1423411,6019734,350620
1423401,6019732,350620
1423391,6019731,350620
1423381,6019730,350620
1423371,6019727,350620
1423361,6019729,350620
1423351,6019724,350620
1423341,6019718,350620
1423331,6019723,350620
1423321,6019716,350620
1423311,6019722,350620
1423301,6019711,350620
1423291,6019712,350620
1423281,6019706,350620
1423271,6019707,350620
1423261,6019704,350620
1423251,6019697,350620
1423241,6019703,350620
1423231,6019695,350620
1423221,6019698,350620
1423211,6019694,350620
1423201,6019693,350620
1423191,6019691,350620
1423181,6019690,350620
1423171,6019688,350620
1423161,6019687,350620
1423151,6019680,350620
1423141,6019681,350620
1423131,6019679,350620
1423121,6019678,350620
1423111,6019675,350620
1423101,6019677,350620
1423091,6019676,350620
1423081,6019673,350620
1423071,6019674,350620
1423061,6019671,350620
1423051,6019672,350620
1423041,6019670,350620
1423031,6019669,350620
1423021,6019733,350620
1423011,6019728,350620
1423001,6019726,350620
1422991,6019725,350620
1422981,6019721,350620
1422971,6019720,350620
1422961,6019717,350620
1422951,6019719,350620
1422941,6019715,350620
1422931,6019714,350620
1422921,6019713,350620
1422911,6019710,350620
1422901,6019709,350620
1422891,6019702,350620
1422881,6019708,350620
1422871,6019701,350620
1422861,6019700,350620
1422851,6019699,350620
1422841,6019696,350620
1422831,6019692,350620
1422821,6019689,350620
1422811,6019686,350620
1422801,6019685,350620
1422791,6019667,350620
1422781,6019684,350620
1422771,6019682,350620
1422761,6019683,350620
1422751,6019668,350620
1422741,6019666,350620
1422731,6019665,350620
1422721,6019662,350620
1422711,6019664,350620
1422701,6019663,350620
1422691,6019661,350620
1422681,6019657,350620
1422671,6019660,350620
1422661,6019659,350620
1422651,6019658,350620
1422641,6019656,350620
1422631,6019655,350620
1422621,6019653,350620
1422611,6019654,350620
1422601,6019649,350620
1422591,6019651,350620
1422581,6019652,350620
1422571,6019650,350620
1301921,6451532,348753
1301631,6454342,348753
1292381,6455560,348753
1290991,6457005,348753
1290311,6455586,348753
1289731,6455864,348753
1289421,6451961,348753
1286121,6453143,348753
1285811,6453137,348753
1275911,6452223,348753
1275821,6457542,348753
1269491,6455707,348753
1269401,6450950,348753
1269351,6457267,348753
1269341,6453920,348753
1269291,6454163,348753
1268771,6453926,348753
1268721,6453129,348753
1268261,6453922,348753
1267261,6454323,348753
1266891,6457607,348753
1266301,6454785,348753
1265371,6455169,348753
1265331,6454279,348753
1263851,6455889,348753
1263161,6450858,348753
1261871,6450657,348753
1259721,6455839,348753
1259401,6452934,348753
1259351,6452935,348753
1258331,6454252,348753
1258311,6455498,348753
1257141,6457498,348753
1256931,6454969,348753
1255941,6454811,348753
1254381,6453849,348753
1247161,6450668,348753
1244501,6453882,348753
1244391,6453101,348753
1243441,6450363,348753
1243411,6451893,348753
1242581,6451500,348753
1242431,6453786,348753
1242421,6456265,348753
1242391,6455505,348753
1241711,6457692,348753
1240771,6455686,348753
1240641,6456271,348753
1238841,6453747,348753
1238441,6454003,348753
1237591,6456346,348753
1237571,6453724,348753
1237541,6452983,348753
1237051,6455541,348753
1231981,6457698,348753
1231361,6453109,348753
1231011,6452411,348753
1230941,6455957,348753
1230791,6452417,348753
1230591,6450926,348753
1230101,6457142,348753
1221071,6455160,348753
1218461,6454286,348753
1217531,6451467,348753
1216061,6454191,348753
1215071,6456966,348753
1214701,6457244,348753
1208821,6455561,348753
1208811,6455556,348753
1208691,6451975,348753
1208451,6452373,348753
1207071,6454212,348753
1205001,6452951,348753
1200551,6452548,348753
1200471,6454415,348753
1200451,6453096,348753
1195611,6457071,348753
1194641,6451071,348753
1193711,6453940,348753
1185251,7253293,390911
1181181,6056898,251923
1140851,6173338,231221
1139271,7237145,390523
1139261,7237139,390523
1139251,7237146,390523
1139241,7237142,390523
1138811,7237141,390523
1138801,7237144,390523
1138791,7237143,390523
1138781,7237140,390523
1130451,6678627,381519
1130441,6678536,381518
1101061,4992827,321363
1023321,6130959,357031
1005021,5721779,341407
905131,6040735,248909
884691,4487782,351507
874971,5915699,348790
871121,5413110,329467
774471,5294119,326914
763481,5190066,323844
763471,5190067,323845
763461,5190064,323842
763451,5188928,323798
763441,5189120,323803
763421,5188789,323790
763401,5188742,323771
749571,3389654,277366
725391,4386403,308060
724481,4210077,299546
708341,4507546,312840
632471,4260440,295129
619881,4210078,299546
619851,4210080,299546
614531,4210079,299546
611351,4379639,307423
611341,4379640,307423
577311,4207869,299451
577301,4207868,299450
487881,4041569,295129
482731,4017372,294149
477231,3753637,285410
477221,3753636,285410
477211,3753635,285410
477191,3753634,285410
477161,3753638,285410
476621,3389651,277366
476611,3389652,277366
476601,3389653,277366
476401,3389649,277366
476391,3389647,277366
476361,3389650,277366
375091,3198162,267549
374851,3198172,267549
374841,3198171,267549
374831,3198161,267549
374741,3198099,267549
374701,3198062,267549
374691,3198056,267549
374511,3198088,267549
374461,3198070,267549
374441,3198069,267549
374411,3198055,267549
373781,3197752,267549
373711,3197711,267549
373701,3197688,267549
373631,3197645,267549
373561,3197617,267549
373521,3197607,267549
373431,3197567,267549
373421,3197563,267549
373371,3197553,267549
373281,3197524,267549
373211,3197500,267549
373201,3197497,267549
373191,3197493,267549
373021,3197412,267549
372951,3197369,267549
372851,3197838,267549
372781,3197742,267549
372771,3197741,267549
372741,3197735,267549
372701,3197678,267549
372691,3197690,267549
372661,3197640,267549
372641,3197610,267549
372631,3197602,267549
372581,3197550,267549
372541,3197510,267549
372511,3197451,267549
372281,3197148,267549
372211,3197064,267549
372001,3197320,267549
371971,3197295,267549
371961,3197319,267549
371931,3197286,267549
371921,3197279,267549
371911,3197278,267549
371901,3197277,267549
371891,3197276,267549
371881,3197275,267549
371821,3197233,267549
371811,3197213,267549
371781,3197140,267549
371751,3197105,267549
371731,3197090,267549
371661,3196989,267549
371611,3197269,267549
371591,3197245,267549
371561,3197220,267549
371481,3197119,267549
371371,3196995,267549
363081,3491122,272632
346641,3658153,283951
325111,3076212,261822
322591,3393603,277559
322121,3456145,278502
251141,3280975,272355
227661,3161950,266048
212941,3067892,260977
205041,2874005,244350
